year,month,month_name,week,district,current_price,previous_week_price,previous_month_price,previous_year_price,change_previous_week,change_previous_month,change_previous_year
2026,1,January,1,Ariyalur,2926.83,2850.71,2500.25,4474.46,0.027,0.171,-0.346
2026,1,January,1,Chengalpattu,3479.57,3588.67,3067.72,4796.14,-0.03,0.134,-0.274
2026,1,January,1,Coimbatore,3056.98,3282.06,2623.86,4350.78,-0.069,0.165,-0.297
2026,1,January,1,Cuddalore,3098.2,3349.44,2876.87,4790.7,-0.075,0.077,-0.353
2026,1,January,1,Dharmapuri,3441.92,3517.57,2894.64,4919.71,-0.021,0.189,-0.3
2026,1,January,1,Dindigul,3681.75,3873.75,3205.69,5296.6,-0.05,0.148,-0.305
2026,1,January,1,Erode,3717.8,3710.32,2881.9,4928.69,0.002,0.29,-0.246
2026,1,January,1,Kallakuruchi,4000.0,4172.88,3530.0,5502.46,-0.041,0.133,-0.273
2026,1,January,1,Kancheepuram,3113.44,3084.66,2806.0,4428.66,0.009,0.11,-0.297
2026,1,January,1,Karur,3703.5,3784.54,3104.39,5000.0,-0.021,0.193,-0.259
2026,1,January,1,Krishnagiri,3237.42,3439.15,2692.64,4745.67,-0.059,0.202,-0.318
2026,1,January,1,Madurai,3918.57,3951.74,3345.37,5405.23,-0.008,0.171,-0.275
2026,1,January,1,Nagapattinam,2782.12,2717.42,2720.69,3961.15,0.024,0.023,-0.298
2026,1,January,1,Nagercoil (Kannyiakumari),4290.23,4437.46,3789.09,5507.25,-0.033,0.132,-0.221
2026,1,January,1,Namakkal,3424.26,3472.47,3052.46,5253.57,-0.014,0.122,-0.348
2026,1,January,1,Perambalur,3917.69,3963.17,3623.02,5200.0,-0.011,0.081,-0.247
2026,1,January,1,Pudukkottai,3851.69,3958.57,3365.22,5381.36,-0.027,0.145,-0.284
2026,1,January,1,Ramanathapuram,3852.82,3679.94,3431.25,5105.81,0.047,0.123,-0.245
2026,1,January,1,Ranipet,3287.47,3508.62,2678.1,4752.15,-0.063,0.228,-0.308
2026,1,January,1,Salem,3882.37,4220.95,3455.11,5893.9,-0.08,0.124,-0.341
2026,1,January,1,Sivaganga,4107.49,4131.98,3309.27,5505.83,-0.006,0.241,-0.254
2026,1,January,1,Tenkasi,3601.02,3619.82,3063.38,4595.47,-0.005,0.176,-0.216
2026,1,January,1,Thanjavur,3676.72,3643.7,3299.06,4759.12,0.009,0.114,-0.227
2026,1,January,1,The Nilgiris,3737.25,4093.2,3219.17,4834.55,-0.087,0.161,-0.227
2026,1,January,1,Theni,3415.97,3657.61,2913.57,4463.79,-0.066,0.172,-0.235
2026,1,January,1,Thiruchirappalli,3766.08,3790.51,3542.67,5807.32,-0.006,0.063,-0.351
2026,1,January,1,Thirunelveli,3435.29,3428.62,2791.53,4465.59,0.002,0.231,-0.231
2026,1,January,1,Thirupathur,2892.44,3149.5,2694.22,5429.25,-0.082,0.074,-0.467
2026,1,January,1,Thirupur,2821.39,2951.55,2553.7,4438.16,-0.044,0.105,-0.364
2026,1,January,1,Thiruvannamalai,3046.71,3105.83,2592.65,4637.19,-0.019,0.175,-0.343
2026,1,January,1,Thiruvarur,3703.46,4015.71,3453.5,5610.33,-0.078,0.072,-0.34
2026,1,January,1,Thiruvellore,3153.33,3601.17,3062.35,4354.46,-0.124,0.03,-0.276
2026,1,January,1,Tuticorin,3898.2,4206.14,3217.19,5077.74,-0.073,0.212,-0.232
2026,1,January,1,Vellore,3058.98,3294.67,2733.79,4614.24,-0.072,0.119,-0.337
2026,1,January,1,Villupuram,3721.22,3554.18,2853.96,4964.7,0.047,0.304,-0.251
2026,1,January,1,Virudhunagar,3710.13,3749.06,3068.21,4534.74,-0.01,0.209,-0.182
2026,1,January,2,Ariyalur,2828.46,2926.83,2575.26,4483.83,-0.034,0.098,-0.369
2026,1,January,2,Chengalpattu,3476.57,3479.57,2961.07,4725.23,-0.001,0.174,-0.264
2026,1,January,2,Coimbatore,2640.77,3056.98,2889.73,4232.29,-0.136,-0.086,-0.376
2026,1,January,2,Cuddalore,3079.39,3098.2,2875.57,5048.96,-0.006,0.071,-0.39
2026,1,January,2,Dharmapuri,3209.46,3441.92,3282.97,4475.08,-0.068,-0.022,-0.283
2026,1,January,2,Dindigul,3547.69,3681.75,3434.29,5223.08,-0.036,0.033,-0.321
2026,1,January,2,Erode,3486.43,3717.8,2873.78,4882.88,-0.062,0.213,-0.286
2026,1,January,2,Kallakuruchi,4000.0,4000.0,3312.65,5000.0,,0.208,-0.2
2026,1,January,2,Kancheepuram,3159.24,3113.44,2516.74,4299.03,0.015,0.255,-0.265
2026,1,January,2,Karur,3538.16,3703.5,3184.56,5000.0,-0.045,0.111,-0.292
2026,1,January,2,Krishnagiri,3106.7,3237.42,3079.47,4403.01,-0.04,0.009,-0.294
2026,1,January,2,Madurai,3670.53,3918.57,3414.42,5201.37,-0.063,0.075,-0.294
2026,1,January,2,Nagapattinam,2745.72,2782.12,2635.76,3747.24,-0.013,0.042,-0.267
2026,1,January,2,Nagercoil (Kannyiakumari),4277.33,4290.23,3826.81,5500.0,-0.003,0.118,-0.222
2026,1,January,2,Namakkal,3318.08,3424.26,3128.21,5017.19,-0.031,0.061,-0.339
2026,1,January,2,Perambalur,3589.58,3917.69,3691.53,5167.31,-0.084,-0.028,-0.305
2026,1,January,2,Pudukkottai,3940.79,3851.69,3621.46,5553.82,0.023,0.088,-0.29
2026,1,January,2,Ramanathapuram,3649.52,3852.82,3236.81,5084.91,-0.053,0.128,-0.282
2026,1,January,2,Ranipet,3046.7,3287.47,2715.54,4760.06,-0.073,0.122,-0.36
2026,1,January,2,Salem,3790.71,3882.37,3491.56,5700.28,-0.024,0.086,-0.335
2026,1,January,2,Sivaganga,3950.18,4107.49,3335.7,5439.59,-0.038,0.184,-0.274
2026,1,January,2,Tenkasi,3623.2,3601.02,3119.42,4684.78,0.006,0.161,-0.227
2026,1,January,2,Thanjavur,3687.33,3676.72,3350.63,4863.06,0.003,0.101,-0.242
2026,1,January,2,The Nilgiris,3463.82,3737.25,3309.86,5226.52,-0.073,0.047,-0.337
2026,1,January,2,Theni,3126.5,3415.97,3071.91,4346.43,-0.085,0.018,-0.281
2026,1,January,2,Thiruchirappalli,3467.84,3766.08,3421.4,5515.07,-0.079,0.014,-0.371
2026,1,January,2,Thirunelveli,3198.51,3435.29,2968.35,4131.59,-0.069,0.078,-0.226
2026,1,January,2,Thirupathur,3003.7,2892.44,2808.96,5382.86,0.039,0.069,-0.442
2026,1,January,2,Thirupur,2818.81,2821.39,2531.29,4294.43,-0.001,0.114,-0.344
2026,1,January,2,Thiruvannamalai,3068.84,3046.71,2777.22,4594.89,0.007,0.105,-0.332
2026,1,January,2,Thiruvarur,3360.99,3703.46,3515.75,5794.04,-0.092,-0.044,-0.42
2026,1,January,2,Thiruvellore,3000.0,3153.33,3000.0,4669.48,-0.049,,-0.358
2026,1,January,2,Tuticorin,3515.0,3898.2,3348.6,4946.55,-0.098,0.05,-0.289
2026,1,January,2,Vellore,3078.66,3058.98,2875.51,4508.55,0.006,0.071,-0.317
2026,1,January,2,Villupuram,3166.73,3721.22,2805.12,4980.86,-0.149,0.129,-0.364
2026,1,January,2,Virudhunagar,3362.87,3710.13,3209.58,4564.09,-0.094,0.048,-0.263
2026,1,January,3,Ariyalur,2766.89,2828.46,2805.45,4728.87,-0.022,-0.014,-0.415
2026,1,January,3,Chengalpattu,3499.1,3476.57,3523.99,4663.92,0.007,-0.007,-0.25
