market,total_records,mean_price,min_price,max_price,std_dev
Kurichi(Uzhavar Sandhai ),118,3585.4472881355928,1840.7,6475.0,1373.8242827783904
Mettupalayam(Uzhavar Sandhai ),118,3917.3509322033897,2138.98,7078.63,1558.2020337341726
Palladam APMC,14,3179.952142857143,40.0,4000.0,1632.05561785026
Pollachi APMC,14,3342.0099999999998,40.8,4200.0,1700.352841767759
Pollachi(Uzhavar Sandhai ),118,4037.0772881355933,2000.0,9000.0,1689.7202709494668
RSPuram(Uzhavar Sandhai ),118,3510.7535593220337,1814.61,6271.92,1427.1902687469626
Singanallur(Uzhavar Sandhai ),118,3661.2195762711867,2029.79,6935.61,1441.8846101729723
Sulur APMC,14,3360.297142857143,40.45,4287.17,1690.6162039756555
Sulur(Uzhavar Sandhai ),118,3655.562881355932,2020.63,6803.85,1439.3455501447668
Sundarapuram(Uzhavar Sandhai ),118,3599.947118644068,1829.02,6191.85,1363.7267573113793
Udumalpet APMC,122,4166.77762295082,45.0,8000.0,1621.2003319824248
Vadavalli(Uzhavar Sandhai ),118,3548.5042372881358,1861.34,7000.0,1439.5424962133332
